instrument,time,volatility,trend_strength,rsi,macd,macd_signal,macd_hist,adx,is_trending,atr_pct,bb_width,price,volume
EURUSD,2025-03-15 07:45:00,0.1066274473756824,0.2460317460315879,42.349234923491245,9.476728345236828e-05,0.0001028968187679,-8.12953531557304e-06,11.692348023942357,0.0,0.0525914934408366,0.000978730107753,1.0879,0
GBPUSD,2025-03-15 07:45:00,0.0618477000386651,0.2000000000001776,58.33333333333565,9.257036850263134e-05,-1.7098771021854236e-07,9.274135621284988e-05,9.890003441238507,0.0,0.0353415428792372,0.0015237483734679,1.2935,0
EURUSD,2025-03-15 07:45:00,0.1066274473756824,0.0,42.349234923491245,9.476728345236828e-05,8.501988004910249e-05,9.747403403265802e-06,7.74907749077527,0.0,0.0525914934408366,0.0009787301077673,1.0879,0
GBPUSD,2025-03-15 07:45:00,0.0618477000386651,0.0,58.33333333333565,9.257036850263134e-05,3.286351983507648e-06,8.92840165191237e-05,39.13043478262632,1.0,0.0353415428792372,0.0015237483734669,1.2935,0
USDJPY,2025-03-15 07:45:00,0.0672699138858928,0.0,73.33255558147721,0.0252693600289433,0.0023786961004961,0.0228906639284471,66.66759256687081,1.0,0.0442094033522953,0.0034302605162052,148.64,0
AUDUSD,2025-03-15 07:45:00,0.0790075878320928,0.0,54.54487601991077,0.0003187323254284,0.0002839551376442,3.4777187784169124e-05,23.80907030342857,0.0,0.0530503899736004,0.0021531172031718,0.63279998,0
BTCUSD,2025-03-16 16:30:00,0.4811284055029827,0.0,66.66035913115334,104.57507153421466,-117.06353411565296,221.6386056498676,64.13929105520087,1.0,0.5439218813143363,0.0255182927910671,84006.68,0
ETHUSD,2025-03-16 16:30:00,0.4059695863300873,0.0,65.98790964047078,0.6360641107053198,-4.136296485269693,4.772360595975012,61.47694401905677,1.0,0.496742140840389,0.0222835808974651,1909.01,0
XRPUSD,2025-03-16 16:30:00,0.7552921980333965,0.0,57.24660074165631,-0.006154172574305,-0.0153548833282194,0.0092007107539143,17.80777625090939,0.0,0.8653073492697335,0.0291431071812098,2.3289,0
EURUSD,2025-03-15 07:45:00,0.1066274473756824,0.0,42.349234923491245,9.476728345236828e-05,8.501988004910249e-05,9.747403403265802e-06,7.74907749077527,0.0,0.0525914934408366,0.0009787301077673,1.0879,0
GBPUSD,2025-03-15 07:45:00,0.0618477000386651,0.0,58.33333333333565,9.257036850263134e-05,3.286351983507648e-06,8.92840165191237e-05,39.13043478262632,1.0,0.0353415428792372,0.0015237483734669,1.2935,0
USDJPY,2025-03-15 07:45:00,0.0672699138858928,0.0,73.33255558147721,0.0252693600289433,0.0023786961004961,0.0228906639284471,66.66759256687081,1.0,0.0442094033522953,0.0034302605162052,148.64,0
AUDUSD,2025-03-15 07:45:00,0.0790075878320928,0.0,54.54487601991077,0.0003187323254284,0.0002839551376442,3.4777187784169124e-05,23.80907030342857,0.0,0.0530503899736004,0.0021531172031718,0.63279998,0
BTCUSD,2025-03-16 16:45:00,0.4085660114941014,0.0,65.23217963628315,129.62555602224893,-68.54284550316353,198.16840152541246,54.7717482257415,1.0,0.570305241374796,0.02579257389511372,83893.42,0
