time,open,high,low,close,volume
2025-01-17 23:00:00,155.7,155.72,155.63,155.66,0
2025-01-17 23:15:00,155.64999,155.67999,155.59,155.61,0
2025-01-17 23:30:00,155.61,155.74001,155.59,155.73,0
2025-01-17 23:45:00,155.73,155.75,155.69,155.72,0
2025-01-18 00:00:00,155.72,155.72,155.56,155.57001,0
2025-01-18 00:15:00,155.57001,155.64,155.56,155.58,0
2025-01-18 00:30:00,155.59,155.67999,155.58,155.61,0
2025-01-18 00:45:00,155.61,155.72,155.59,155.67999,0
2025-01-18 01:00:00,155.69,155.74001,155.66,155.71001,0
2025-01-18 01:15:00,155.7,155.94,155.7,155.82001,0
2025-01-18 01:30:00,155.81,156.17999,155.75999,156.11,0
2025-01-18 01:45:00,156.11,156.19,155.98,156.050003,0
2025-01-18 02:00:00,156.050003,156.050003,155.78,155.81,0
2025-01-18 02:15:00,155.82001,155.97,155.8,155.89,0
2025-01-18 02:30:00,155.89999,156.14,155.88,156.089996,0
2025-01-18 02:45:00,156.089996,156.13,156.039993,156.11,0
2025-01-18 03:00:00,156.10001,156.22,156.10001,156.17999,0
2025-01-18 03:15:00,156.17999,156.34,156.16,156.28999,0
2025-01-18 03:30:00,156.28999,156.31,156.2,156.22,0
2025-01-18 03:45:00,156.22,156.37,156.22,156.31,0
2025-01-18 04:00:00,156.3,156.33,156.24001,156.25,0
2025-01-18 04:15:00,156.25,156.34,156.24001,156.33,0
2025-01-18 04:30:00,156.33,156.34,156.23,156.24001,0
2025-01-18 04:45:00,156.23,156.31,156.23,156.25999,0
2025-01-18 05:00:00,156.25999,156.28999,156.2,156.2,0
2025-01-18 05:15:00,156.2,156.21001,156.13,156.17,0
2025-01-18 05:30:00,156.17,156.23,156.17,156.17999,0
2025-01-18 05:45:00,156.17999,156.21001,156.14999,156.19,0
2025-01-18 06:00:00,156.19,156.19,156.13,156.17,0
2025-01-18 06:15:00,156.17,156.23,156.17,156.21001,0
2025-01-18 06:30:00,156.21001,156.22,156.16,156.17,0
2025-01-18 06:45:00,156.16,156.19,156.14,156.14999,0
2025-01-18 07:00:00,156.14999,156.2,156.11,156.2,0
2025-01-18 07:15:00,156.19,156.2,156.13,156.14,0
2025-01-18 07:30:00,156.14,156.16,156.12,156.14999,0
2025-01-18 07:45:00,156.14999,156.16,156.12,156.14999,0
2025-01-18 08:00:00,156.14999,156.27,156.13,156.25,0
2025-01-18 08:15:00,156.25,156.25999,156.17999,156.17999,0
2025-01-18 08:30:00,156.19,156.23,156.19,156.21001,0
2025-01-18 08:45:00,156.22,156.32001,156.21001,156.28999,0
2025-01-20 09:00:00,156.25999,156.28999,156.25,156.28,0
